1317208452954620	INFO      	Log	XnLog.cpp	264	OpenNI version is 1.3.2 (Build 1)-Linux-x86 (Sep 26 2011 14:50:28)
1317208452954653	INFO      	Log	XnLog.cpp	243	Filter Info - minimum severity: ERROR, masks: NONE
1317208452954663	INFO      	Log	XnLog.cpp	243	Filter Info - minimum severity: WARNING, masks: NONE
1317208452954674	INFO      	Log	XnLog.cpp	243	Filter Info - minimum severity: WARNING, masks: ALL
1317208452954700	INFO      	Log	XnLog.cpp	243	Filter Info - minimum severity: VERBOSE, masks: ALL
       67	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	490	Found exported production node. Script: OpenNI/OpenNI/1.3.2.1
      236	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libnimMockNodes.so...
      382	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libnimMockNodes.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      396	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libnimMockNodes.so' - missing dependencies?
      417	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libnimCodecs.so...
      447	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libnimCodecs.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      460	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libnimCodecs.so' - missing dependencies?
      478	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libnimRecorder.so...
      506	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libnimRecorder.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      519	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libnimRecorder.so' - missing dependencies?
      539	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libXnDevicesSensorV2.so...
      567	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libXnDevicesSensorV2.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      580	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libXnDevicesSensorV2.so' - missing dependencies?
      598	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libXnDeviceFile.so...
      627	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libXnDeviceFile.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      640	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libXnDeviceFile.so' - missing dependencies?
      658	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libXnVFeatures.so...
      688	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libXnVFeatures.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      700	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libXnVFeatures.so' - missing dependencies?
      718	VERBOSE   	ModuleLoader	XnModuleLoader.cpp	319	Checking ../lib/libXnVHandGenerator.so...
      746	WARNING   	xnOS	Linux-x86SharedLibs.cpp	44	Failed loading lib: ../lib/libXnVHandGenerator.so: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio

      759	WARNING   	ModuleLoader	XnModuleLoader.cpp	330	Failed to load '../lib/libXnVHandGenerator.so' - missing dependencies?
